No,약어,영문/원문,한글 해석
594,DFC,Design For Cost,원가 고려 설계
595,DFM,Design For Manufacturability,제조용이성 설계
596,DFQ,Design For Quality,품질을 고려한 설계
597,DFR,Design For Reliability,신뢰성 고려 설계
598,DFY,Design For You,당신을 위한 디자인
599,DGK,Declaim Geometry,디클레임 지오메트리
600,DI,Development Process Innovation,개발 프로세스 혁신
601,DI,Daily Inspection,일일 점검
602,DIA,Delivery Instruction Application,Delivery Instruction Application
603,DIF,Delivered In Full,완전 납품 완료
604,DIFOT,Deliver In Full And On Time,전량을 제때 납품하기
605,Direct Molded Phylon,최신 신발 공정,Latest footwear manufacturing process
606,Direct procument,"직접조달은 재고로 보관하지 않는 조달을 수행한다. 직접 조달되는 품목(component)들은 BOM의 item category가 ＂Non-stock item＂으로 설정된다. 계획 실행시, 직접 조달되는 구성부품(component)에 대하여 종속소요량은 생성되지 않으며, 대신 구매요청서(purchase requisition)가 바로 생성된다.","Direct procurement performs procurement without holding inventory. Components that are directly procured have their item category in the BOM set to “Non-stock item.” During planning execution, dependent requirements are not generated for directly procured components; instead, purchase requisitions are created immediately."
607,Distribution channel,"판매용 material이나 service가 고객에게 도달되는 경로. 전형적인 유통 경로에는 도매, 소매, 직판이 있다. 유통경로는 하나 이상의 판매 조직(sales organization)에 할당된다.","판매용 material이나 service가 고객에게 전달되는 경로. 전형적인 유통 경로에는 도매, 소매, 직판이 있다. 유통 경로는 하나 이상의 판매 조직(sales organization)에 할당된다."
608,Division,"유통을 감독하고 특정 판매자재의 수익성을 관리하기 위해 설치된 조직단위. 분할납품, 단가, 지급조건 등 고객별로 특수한 사항을 제품군별로 지정할 수 있다.","An organizational unit established to oversee distribution and manage the profitability of specific sales materials. Special conditions such as partial deliveries, unit prices, and payment terms can be defined per product group for each customer."
609,DIZA,Department Of Industrial Zone Authorities,산업단지 관리 당국 부서
610,DK,Distribution Kaizen,Distribution Kaizen (유통 개선 카이젠)
611,DL,Deliver,납품
612,DLI,Demand Line Item,수요 품목 항목
613,DLP,Data Loss Protection,데이터 손실 방지
614,DLP,Digital Light Processing,디지털 광 처리
615,DM,Development Manager,개발 매니저
616,DMA,Dynamic Mechanical Analysis,동적 기계 분석
617,DMAIC,"Define, Measure, Analyze, Improve, Control","정의, 측정, 분석, 개선, 관리"
618,DMF,Dimethyl Formamide,디메틸포름아마이드
619,DMP,Direct Molded Phylon의 약어,Direct Molded Phylon의 약어는 DMP입니다.
620,DMT,Declaim Machining Triangles,Declaim Machining Triangles → 머시닝 삼각형 제거
621,DMU,Digital Mock-Up,디지털 목업
622,DNA,Department Of Nike Archives,Department Of Nike Archives
623,DNC,Directed Numerical Control,직접 수치 제어
624,DNMM,Dynamic New Manufacturing Model,다이내믹 신규 제조 모델
625,Dock to Dock LeadTime,"계획에 의거하여, 자재나 생산 흐름의  시간을 측정한 것",계획에 따라 자재 및 생산 흐름에 소요되는 시간을 측정한 것
626,Document,"거래행위의 증빙자료. SAP는 SAP전표와 송장, 수표, 은행잔고 명세서 등과 같은 일반적인 전표를 구별한다. SAP전표에는 회계전표, 샘플전표, 반복입력전표 등이 있다. 회계전표는 시스템에 사업거래를 기록하고 샘플전표와 반복입력전표는 Data입력을 간편하게 하기위해 사용된다.Document라는 용어는 SAP의 모듈 전체에서 사용된다.  즉, FI의 Accounting (FI) Document, CO의 CO Document, MM의 Material Document, SD의 SD Document 또는 Sales Document 등이 그 예이다. 재무회계상의 거래나, 물류상의 Transaction에 대해 SAP는 그 거래처리의 내용을 담고 있는 Object를 Document라고 부르기도 한다. 예를 들어 MM의 Material Document라 함은 자재전표로 해석할 수도 있으며, 원재료, 제품 등의 입고, 출고, 이동 등의 기록을 담고 있다 FI의 Document는 회계전표(Accounting Document)를 말한다. FI의 회계전표는 Header와 Line Item의 2단계 구조로 되어 있으며, Header에는 그 전표에서 공통적으로 사용되는 사항들(예를들어, 전표유형, 기표일자, 증빙일자, 거래통화, 회사코드, 적요, 참조번호 등)이 저장되며, Line Item에는 차/대변 각각의 계정관련 사항들(Account, Posting key, 금액, Cost center, 참조번호, 적요 등)이 저장된다.","거래행위의 증빙자료. SAP는 SAP전표와 송장, 수표, 은행잔고 명세서 등과 같은 일반적인 전표를 구별한다. SAP전표에는 회계전표, 샘플전표, 반복입력전표 등이 있다. 회계전표는 시스템에 사업거래를 기록하고 샘플전표와 반복입력전표는 Data입력을 간편하게 하기위해 사용된다.Document라는 용어는 SAP의 모듈 전체에서 사용된다.  즉, FI의 Accounting (FI) Document, CO의 CO Document, MM의 Material Document, SD의 SD Document 또는 Sales Document 등이 그 예이다. 재무회계상의 거래나, 물류상의 Transaction에 대해 SAP는 그 거래처리의 내용을 담고 있는 Object를 Document라고 부르기도 한다. 예를 들어 MM의 Material Document라 함은 자재전표로 해석할 수도 있으며, 원재료, 제품 등의 입고, 출고, 이동 등의 기록을 담고 있다 FI의 Document는 회계전표(Accounting Document)를 말한다. FI의 회계전표는 Header와 Line Item의 2단계 구조로 되어 있으며, Header에는 그 전표에서 공통적으로 사용되는 사항들(예를들어, 전표유형, 기표일자, 증빙일자, 거래통화, 회사코드, 적요, 참조번호 등)이 저장되며, Line Item에는 차/대변 각각의 계정관련 사항들(Account, Posting key, 금액, Cost center, 참조번호, 적요 등)이 저장된다."
627,Document currency,전표가 전기(posting)될때 사용되는 통화.,전표가 전기(posting)될 때 사용되는 통화.
628,Document date,구매처 송장과 같은 전표가 원래 준비된 일자. 이 날짜는 전기일자(posting date)와 일치하지 않을 수 있다.,구매처 송장 등 전표가 실제로 작성·준비된 날짜. 이 날짜는 전기일자(posting date)와 일치하지 않을 수 있다.
629,Document entry,SAP 시스템에 거래를 수동 또는 자동으로 기록하는 절차로 거래의 특성에 따라 조금씩 다른 일련의 Data 입력화면에 입력한 Dialog Interface를 통해 자동으로 Data 입력이 진행된다.,"SAP 시스템에 거래를 수동 또는 자동으로 기록하는 절차로, 거래의 특성에 따라 서로 다른 일련의 Data 입력화면에서 입력한 내용을 기반으로 Dialog Interface를 통해 자동으로 Data 입력이 진행된다."
630,Document header,증빙일자(document date)나 전표번호와 같이 전표전체에 적용되는 정보를 갖고 있는 전표의 일부분.,증빙일자(document date)나 전표번호처럼 전표 전체에 공통으로 적용되는 정보를 포함하고 있는 전표의 일부.
631,Document number,한 회계연도에 있어서 하나의 회사코드내의 각각의 전표를 구분하여 주는 key.,One 회계연도 내에서 하나의 Company Code 안에 존재하는 각 전표를 식별·구분해 주는 Key.
632,Document principle,"SAP의 회계전표에는 ＂하나의 전표에는 하나의 거래를 기록(One Invoice(Transaction) = One Document)＂하는 원칙이 적용되며 이를 Document Principle 이라고도 한다. 즉, 기존의 회계전표에는 여러 거래의 내용을 축약하거나 복합하는 이른 바, ＂복합분개＂의 형식으로 기표를 하는 관행이 허용되었으나, SAP에서는 이것이 제한되고 있다.  하나의 전표에 여러 거래를 기록하면, 정보가 혼재 된다는 업무상의 제약도 있을 수 있으나, SAP의 구조상 복합분개를 하게 되면 전표생성자체가 불가한 경우가 있거나, 전표생성은 되더라도 이후의 프로세스나 정보추출에 장애를 받게 되는 경우가 발생한다. (예를 들어 관계사와의 거래와 일반거래처와의 거래를 한번에 기표 처리하는 것을 불가능하며, AR과 AP 발생거래를 하나의 전표로하는 경우 차후의 부가세정보추출이나 CO-PCA로의 Data 이체상에 문제가 발생할 수 있음).  따라서, Document Principle은 차후의 정보 Processing을 원할하게 하는것을 보장한다. 다만 End User 입장에서는 이러한 원칙 때문에 전표입력이 기존 시스템보다 번거롭거나 복잡해지는 것으로 느낄 수도 있으므로, 전표입력을 쉽게 하는 CBO를 행하기도 하는데, 신재무시스템에서도 ＂유형별 전표입력＂ 기능을 개발하여 사용자의 편의를 돕고 있다.","SAP의 회계전표에는 ＂하나의 전표에는 하나의 거래를 기록(One Invoice(Transaction) = One Document)＂하는 원칙이 적용되며 이를 Document Principle 이라고도 한다. 즉, 기존의 회계전표에는 여러 거래의 내용을 축약하거나 복합하는 이른 바, ＂복합분개＂의 형식으로 기표를 하는 관행이 허용되었으나, SAP에서는 이것이 제한되고 있다.  하나의 전표에 여러 거래를 기록하면, 정보가 혼재 된다는 업무상의 제약도 있을 수 있으나, SAP의 구조상 복합분개를 하게 되면 전표생성자체가 불가한 경우가 있거나, 전표생성은 되더라도 이후의 프로세스나 정보추출에 장애를 받게 되는 경우가 발생한다. (예를 들어 관계사와의 거래와 일반거래처와의 거래를 한번에 기표 처리하는 것을 불가능하며, AR과 AP 발생거래를 하나의 전표로하는 경우 차후의 부가세정보추출이나 CO-PCA로의 Data 이체상에 문제가 발생할 수 있음).  따라서, Document Principle은 차후의 정보 Processing을 원할하게 하는것을 보장한다. 다만 End User 입장에서는 이러한 원칙 때문에 전표입력이 기존 시스템보다 번거롭거나 복잡해지는 것으로 느낄 수도 있으므로, 전표입력을 쉽게 하는 CBO를 행하기도 하는데, 신재무시스템에서도 ＂유형별 전표입력＂ 기능을 개발하여 사용자의 편의를 돕고 있다."
633,Document type,"기표되어야 할 거래와 어떤 형식의 계정을 계정에 기표를 할 수 있는가(예 customer계정, vendor계정, G/L계정)를 구분하여 주는 key.전표유형은 전표의 filing을 통제하고 전기되어야 할 계정유형(account type)을 결정하여 준다.","어떤 거래를 기표해야 하는지와, 어떤 형태의 계정(예: customer 계정, vendor 계정, G/L 계정)에 기표할 수 있는지를 구분해 주는 키. 전표유형은 전표의 정리(filing)를 통제하고, 전기되어야 할 계정유형(account type)을 결정해 준다."
634,DOD,Divisional Operations Director,Divisional Operations Director (사업부 운영 총괄 이사)
635,DOD,Divisional Operation Director,Division Operation Director
636,DOD,Director Of Development,개발 디렉터
637,DOE,Design of Experiments,실험 설계
638,DOLISA,"Department Of Law, Invalid And Social Affair",법무·보훈·사회복지부
639,DONRE,Department Of Natural Resources And Environment,자연자원환경부
640,DOR,Daily Operation Review,일일 운영 검토
641,DOT,Delivered On Time,정시 납품
642,Down payment,"아직 생산되거나 제공되지 않은 재화나 용역에 대한 지급액. 계약금(선수/선급금)은 대차채조표상에서 다른 채권이나 채무와 별도로 표시된다. 즉 지급한 계약금(선급금)은 자산으로, 지급받은 계약금(선수금)은 부채로 재무제표에 표시된다","아직 생산되거나 제공되지 않은 재화나 용역에 대해 미리 지급한 금액. 계약금(선수/선급금)은 대차대조표에서 다른 채권이나 채무와 구분하여 별도로 표시된다. 즉, 지급한 계약금(선급금)은 자산으로, 지급받은 계약금(선수금)은 부채로 재무제표에 계상된다."
